input	zero_digits	digit_order	cube	period	operation	length	sha256	ngram	ioc
forward	0	forward	standard	72	encrypt	919	0cb4cee198be80e5d0fc951f429700ff8964b5f77b14b4aa4359998fdfbe2923	-13.242834619439185	0.0372077255518336
forward	0	forward	standard	73	decrypt	919	08636318ac550a8ecd07c508021ada572926163bbbcdbb9643bf4c917e82bd06	-13.241422769734108	0.03681656437209148
forward	0	forward	standard	73	encrypt	919	30053cc692660692cbd442d80b9c0aa8143f070f25e3d0bb269828fc6a210ae2	-13.240216829840058	0.03678574561247543
forward	0	forward	standard	74	decrypt	919	20fe8d009f6f0643668eaee6a261a3dde9ea144b15ecb41883e0813aa70b3078	-13.247364273784896	0.036868719196057095
forward	0	forward	standard	74	encrypt	919	ec8bce34c843d29a51a897761967d7b0895f195ebd6abeeda880226b622f50ac	-13.217738737035905	0.037340483285564254
forward	0	forward	standard	75	decrypt	919	3002b890ae34665b5a60a914e064b22ef177182ba019f0c805c556c541476745	-13.23951090498752	0.03712712264206856
forward	0	forward	standard	75	encrypt	919	17a5273ef91ad1f1db9a9cb05ccd46a01cf885bc8b8866c1690ee732d2301db7	-13.245452409038311	0.037302552504498356
forward	0	forward	standard	76	decrypt	919	6d3602bdb5edfab5ad29c29bde7cecafb36ef7ebf972138aaad8ade329530586	-13.245452409038311	0.03679048696010867
forward	0	forward	standard	76	encrypt	919	0c83e2bebb83bf6f3ea7772ec40a3a83df2a6e87e9a9e2377826549eb20ed500	-13.242834619439185	0.03672173741942673
forward	0	forward	standard	77	decrypt	919	6927a4dd5c350aa2997a836c08f705d3c2b1121e24634ae2f21aaa05a03a46a7	-13.242834619439183	0.036572384968979736
forward	0	forward	standard	77	encrypt	919	d64e69c321f2662c2726ed0f4fd99af56e05223464c6755ef2b6d08e020e4775	-13.230526431461232	0.03726936307106569
forward	0	forward	standard	78	decrypt	919	255112bcaf6f318dd0167a4f24acca41ddd7135992e1f31708dc27c0d54775a0	-13.237836308524718	0.036828417741174575
forward	0	forward	standard	78	encrypt	919	f33fda3d42e47864b3d6aae1701a0b3176f0c4b8546051beb700bf0023ec14f2	-13.245452409038311	0.03721720824710007
forward	0	forward	standard	79	decrypt	919	8d14ef3ded16920f82fa544b5cecd9b367894d1dcea364a6c23c5531bab2bbb9	-13.242834619439185	0.03705600242756999
forward	0	forward	standard	79	encrypt	919	45980e32154d09eb9d84cfa166046ad949da1543c117e827e92d60a3c4b520f7	-13.23951090498752	0.03670514270271039
forward	0	forward	standard	80	decrypt	919	9cfce0b75e84daa654a6b08430af8bf79c47547c43a66be66e0f4c1798177aa9	-13.237204175474726	0.037302552504498356
forward	0	forward	standard	80	encrypt	919	d431dcccf7e75ec7176b2e7a9c38d45917f9e0b2760e1bf7cc33c4569bce7447	-13.234275325789273	0.037146088032601506
forward	0	forward	standard	81	decrypt	919	4ea489f471b2e4b498ccadd73f0f38807fcf85ca9427e12146d21cbd125ba2f1	-13.244746484185772	0.037058373101386606
forward	0	forward	standard	81	encrypt	919	de81895933c6a24d1dbd453ee5de334be14bb89559ae3fed30feb7fd3cbf899f	-13.245452409038311	0.03733811261174764
forward	0	forward	standard	82	decrypt	919	36edf1816f91bc87ba1f2a8dad38005fd86ad67119edc3b86fa22de62779f1f0	-13.248070198637434	0.03698962356070466
forward	0	forward	standard	82	encrypt	919	6d3136562601415f32a76106a30a1ce2684f20deeba3a296b19f580c7a2db086	-13.236893115388396	0.03716268274931784
forward	0	forward	standard	83	decrypt	919	3129bed1d0e1203ad02c0e71f7360b9e5fa11f9a9fda70ffdccae1cbce1743b1	-13.245452409038311	0.037423456869145916
forward	0	forward	standard	83	encrypt	919	b3304177a6ba124665a7587fc8dafb64af33a2870b1f55edec8c6ccdd8430c8c	-13.231657536190149	0.036935098062922424
forward	0	forward	standard	84	decrypt	919	05bb0f5c43f226dd93fab2f4e3c58d3292f7a40f41923acf6d8ac3293a65bcc5	-13.24693909390852	0.03743531023822901
forward	0	forward	standard	84	encrypt	919	312a6c139ec8d6a63e5591949f3b6b3be493674a54f1f028c1505ab698f8b9fc	-13.248070198637434	0.03730492317831497
forward	0	forward	standard	85	decrypt	919	d772c8979ae09599a92be897122be1cfccdc0a18a6a107850d76a92f27ae3775	-13.238804980134981	0.03700621827742099
forward	0	forward	standard	85	encrypt	919	0d5f1b0bae0c4cce04c38fb96edf583f5c979bb2b9b81bde08f5e2d8ccc72361	-13.23951090498752	0.03696117547490523
